id,ta,ts,tf
792,99821,134,100538
798,100596,43,100849
804,100886,1,100918
799,100630,52,100990
795,99984,180,100998
803,100786,37,101083
797,100172,164,101103
794,99981,204,101115
802,100777,125,101384
807,101381,19,101491
806,101314,55,101606
805,101304,69,101671
800,100670,224,101775
809,101582,46,101789
808,101401,138,101931
801,100734,312,102003
811,102011,4,102015
810,101855,174,102121
812,102247,21,102268
814,102325,69,102520
815,102350,133,102673
813,102311,266,102779
816,102851,28,102879
817,102981,57,103038
821,103414,4,103428
819,103333,39,103439
820,103361,51,103518
822,103439,140,103806
824,103804,20,103866
823,103626,85,103879
818,103196,554,104089
825,104371,83,104454
826,104662,34,104696
827,104740,78,104890
828,104766,83,104949
829,104830,49,104950
833,105367,29,105539
834,105378,30,105553
836,105539,1,105558
830,105222,220,105862
837,105685,46,105968
840,105936,16,106044
832,105351,131,106047
841,105970,17,106100
843,106119,12,106188
844,106211,4,106232
831,105325,190,106298
839,105857,76,106306
835,105405,168,106322
842,106024,60,106334
838,105687,193,106415
846,106458,13,106486
847,106514,68,106646
850,106856,20,106934
849,106755,73,106999
848,106705,122,107053
845,106449,444,107529
854,107303,61,107646
851,107016,239,107973
855,107419,117,108082
858,107906,66,108332
857,107891,71,108347
853,107239,202,108357
859,108149,31,108368
856,107582,139,108383
860,108190,33,108404
852,107198,290,108530
861,108229,129,108567
863,108594,11,108615
867,108945,7,108982
864,108723,81,108983
862,108580,230,109033
865,108782,112,109121
866,108814,118,109139
870,109248,36,109352
869,109245,65,109413
868,109208,212,109521
871,109524,7,109531
872,109641,28,109669
874,109802,6,109812
873,109794,49,109849
875,109897,138,110051
879,110186,21,110276
880,110285,1,110297
876,110020,133,110334
881,110291,16,110358
882,110295,47,110461
877,110083,162,110575
878,110179,135,110698
889,110790,3,110813
883,110472,102,111043
888,110752,48,111075
886,110543,95,111142
890,110803,65,111243
885,110538,120,111267
894,111297,18,111421
892,111161,50,111467
893,111268,63,111682
896,111430,40,111698
898,111717,20,111834
899,111821,2,111844
895,111350,86,111898
901,112020,16,112114
900,111934,51,112221
897,111510,121,112222
887,110597,269,112223
903,112242,24,112351
884,110517,337,112488
904,112274,45,112553
905,112308,123,112964
908,113024,15,113099
891,111035,374,113101
902,112113,212,113153
906,112378,225,113306
907,112424,219,113309
909,113266,27,113340
910,113287,200,113680
911,113390,226,113874
913,113880,4,113886
914,113937,3,113941
915,114016,8,114033
912,113584,304,114101
916,114021,39,114104
917,114226,41,114267
919,114307,3,114311
918,114292,30,114325
921,114454,26,114506
922,114650,8,114662
924,114843,6,114864
925,114894,1,114901
923,114692,139,115024
926,114919,32,115032
920,114428,389,115069
929,115161,23,115252
931,115203,27,115323
927,114945,242,115553
930,115178,114,115563
932,115600,66,115737
934,115779,34,115899
936,115911,47,116098
937,116098,5,116127
928,115149,356,116155
935,115831,111,116210
938,116363,40,116442
933,115720,349,116443
939,116486,47,116533
940,116532,34,116571
942,116576,26,116629
941,116564,65,116658
943,116668,19,116687
944,116705,9,116714
945,116892,14,116906
946,117110,65,117175
948,117569,19,117606
947,117539,117,117675
950,118381,23,118427
949,118356,56,118435
951,118555,131,118686
952,118870,1,118871
953,119192,32,119224
955,119571,36,119684
961,119934,3,119959
957,119611,82,120049
960,119756,52,120065
959,119737,59,120084
954,119336,368,120176
963,120134,50,120378
962,120116,61,120399
958,119663,282,120801
956,119590,350,120891
964,120236,308,121011
965,120962,200,121187
966,121341,89,121430
968,121936,25,121997
969,121970,21,122038
973,122073,1,122087
974,122120,4,122139
971,122043,47,122234
967,121896,150,122308
972,122046,88,122376
977,122361,1,122377
975,122271,63,122528
978,122392,31,122543
979,122453,18,122553
970,121984,208,122773
981,122594,50,122795
976,122344,116,122799
980,122473,100,122819
983,122948,5,122958
982,122889,106,123012
989,123179,9,123245
987,123152,32,123313
988,123163,65,123470
990,123462,9,123507
986,123103,103,123526
985,123036,189,123631
984,122987,311,123718
991,123960,69,124113
993,124000,42,124147
992,123996,56,124179
994,124048,56,124219
995,124117,67,124250
996,124419,7,124426
1000,124682,19,124757
1001,124763,2,124775
1003,124808,66,125145
998,124603,140,125189
999,124618,138,125207
1005,125322,55,125562
1002,124766,208,125622
997,124598,269,125643
1007,125547,22,125653
1004,125258,154,125787
1008,125734,59,125874
1009,125857,18,125916
1012,125925,21,126017
1010,125866,57,126070
1013,126046,14,126100
1011,125914,75,126171
1006,125452,282,126317
1015,126197,45,126330
1014,126082,102,126344
1016,126666,48,126754
1017,126688,38,126784
1019,126865,23,126923
1020,126886,60,127071
1023,127110,38,127265
1024,127276,30,127403
1022,126988,129,127504
1018,126702,335,127615
1025,127371,129,127740
1021,126954,246,127742
1026,127759,24,127783
1027,127793,154,128015
1031,128067,87,128502
1034,128508,6,128552
1028,127913,190,128798
1033,128422,93,129043
1041,129188,1,129224
1032,128099,189,129309
1035,128564,107,129368
1030,128001,243,129507
1042,129280,50,129685
1039,128979,104,129821
1036,128731,140,129829
1038,128909,116,129845
1046,129917,18,130059
1047,130005,23,130230
1053,130312,10,130460
1037,128799,202,130494
1045,129915,66,130588
1051,130129,45,130677
1057,130765,3,130808
1050,130113,85,131129
1049,130037,98,131171
1060,131032,11,131190
1054,130328,73,131239
1062,131144,53,131936
1029,127927,498,131966
1059,130980,74,132036
1040,129103,288,132112
1044,129763,234,132530
1052,130159,202,132892
1069,132264,41,132937
1063,131150,129,133094
1048,130022,233,133159
1055,130587,189,133272
1056,130653,199,133455
1043,129596,339,133746
1073,132850,67,133861
1071,132738,77,133926
1076,133557,34,134080
1066,131932,151,134159
1075,133432,51,134170
1078,133967,13,134191
1070,132514,114,134217
1077,133734,45,134374
1082,134355,1,134399
1067,131947,183,134554
1074,133212,101,134603
1061,131085,252,134635
1083,134380,26,134689
1084,134643,20,134845
1088,134897,4,134941
1058,130906,295,134944
1072,132742,167,134959
1086,134788,15,134962
1087,134834,24,135066
1065,131752,272,135262
1085,134679,86,135472
1080,134128,137,135505
1068,132170,273,135530
1079,134032,168,135650
1092,135485,28,135682
1091,135400,51,135773
1064,131193,390,135835
1094,135758,90,136341
1090,135151,179,136428
1093,135659,122,136490
1095,135978,73,136563
1097,136119,67,136690
1099,136347,47,136757
1102,136644,15,136776
1081,134248,325,136861
1100,136446,86,137035
1101,136474,118,137173
1096,136087,253,137438
1106,137564,17,137679
1103,137448,59,137734
1108,137789,1,137807
1104,137470,131,138294
1112,138065,22,138296
1105,137503,122,138306
1113,138115,19,138313
1111,138005,54,138495
1098,136265,427,138706
1117,138717,4,138746
1116,138511,60,138974
1114,138219,93,138983
1109,137796,157,139020
1107,137765,181,139121
1118,138837,43,139128
1115,138324,161,139345
1089,135097,767,139504
1110,137961,263,139519
1120,139552,32,139635
1121,139574,88,139871
1122,139659,63,139926
1125,139857,32,140070
1126,139864,36,140114
1119,139017,310,140168
1127,139867,46,140186
1131,140281,16,140374
1123,139700,141,140487
1129,140015,77,140496
1134,140468,8,140520
1133,140458,47,140747
1136,140678,10,140757
1124,139846,163,140820
1137,140956,2,140970
1132,140398,134,141076
1128,139979,249,141317
1140,141203,37,141506
1139,141120,58,141524
1143,141291,39,141615
1141,141231,71,141782
1146,141774,4,141802
1135,140571,223,141857
1138,141107,111,141868
1144,141426,133,142169
1148,142264,17,142370
1151,142462,3,142485
1153,142510,8,142573
1147,142159,85,142630
1152,142494,29,142707
1142,141273,266,142813
1149,142298,90,142875
1155,142726,78,143177
1145,141506,308,143185
1157,143424,8,143473
1150,142427,196,143489
1160,143437,12,143525
1158,143425,22,143579
1161,143497,16,143595
1162,143603,1,143616
1156,143052,139,143751
1166,143814,4,143839
1154,142695,228,143891
1163,143620,66,143977
1159,143426,116,144053
1167,144039,22,144155
1169,144127,10,144189
1168,144061,69,144426
1170,144203,70,144572
1171,144333,49,144597
1172,144703,17,144778
1130,140172,979,145081
1165,143796,310,145131
1173,144901,65,145164
1174,145055,87,145295
1175,145259,126,145681
1177,145528,120,146061
1164,143720,600,146081
1179,145872,42,146095
1176,145305,205,146112
1178,145592,160,146200
1181,146324,7,146335
1180,146026,189,146336
1184,146626,28,146729
1187,146788,3,146804
1183,146582,80,146848
1182,146457,224,146900
1186,146706,55,146923
1188,146890,77,147060
1189,147104,47,147195
1185,146661,284,147255
1190,147373,138,147531
1191,147491,78,147589
1192,147632,43,147707
1194,147814,35,147882
1195,147950,156,148330
1197,148204,44,148398
1199,148458,14,148516
1198,148221,80,148536
1193,147641,516,148668
1196,148201,291,148919
1202,148887,39,149014
1201,148780,89,149043
1200,148754,238,149177
1203,149193,55,149248
1204,149292,20,149312
1205,149585,4,149589
1206,149680,42,149722
1207,149908,20,149928
1209,150028,26,150083
1210,150067,28,150127
1208,149929,191,150218
1211,150129,135,150309
1212,150475,63,150538
1213,150664,28,150696
1215,150695,32,150760
1214,150687,83,150807
1216,150813,17,150830
1217,150967,51,151018
1218,151112,18,151130
1219,151170,35,151205
1220,151663,217,151880
1221,151941,40,151981
1222,152073,4,152077
1223,152102,13,152119
1224,152112,95,152318
1226,152265,32,152346
1225,152117,210,152556
1228,152599,55,152727
1231,152783,30,152937
1230,152761,38,152939
1227,152348,301,153164
1235,153116,25,153261
1232,152836,97,153314
1233,152836,107,153345
1234,153014,80,153361
1229,152663,221,153406
1236,153484,40,153528
1238,153535,37,153609
1237,153517,213,153774
1239,153887,3,153890
1240,153996,1,153997
1241,154133,18,154151
1242,154216,71,154323
1243,154251,61,154348
1244,154353,69,154442
1245,154402,105,154527
1248,154848,48,155006
1247,154718,184,155246
1250,155112,51,155305
1252,155291,42,155479
1251,155282,47,155482
1249,154941,179,155613
1246,154698,317,155674
1254,155546,38,155680
1257,155720,3,155731
1256,155690,45,155832
1253,155412,174,155934
1258,155919,24,155970
1259,155981,67,156153
1260,156034,70,156215
1255,155666,236,156223
1262,156317,28,156371
1263,156382,4,156387
1265,156708,16,156755
1266,156825,78,157065
1261,156291,486,157171
1268,157094,39,157266
1267,157049,60,157282
1269,157104,125,157451
1264,156599,475,157642
1271,157602,47,157709
1270,157575,106,157755
1273,157993,12,158015
1274,158029,12,158055
1275,158042,37,158128
1277,158135,28,158232
1272,157931,265,158589
1276,158116,156,158693
1280,158521,39,158724
1285,158881,1,158905
1283,158806,33,159014
1286,158911,23,159065
1282,158621,83,159072
1279,158414,146,159150
1284,158874,83,159301
1289,159323,18,159447
1287,159061,79,159458
1281,158610,173,159519
1278,158165,305,159544
1288,159268,73,159613
1291,159347,62,159623
1290,159334,131,159690
1292,159725,25,159750
1294,159869,12,159893
1293,159869,134,160059
1295,159977,133,160244
1296,160047,187,160335
1297,160959,93,161052
1298,161058,79,161137
1299,161212,99,161311
1307,161775,1,161800
1304,161704,36,161940
1301,161451,132,161964
1306,161731,43,162019
1300,161451,148,162055
1308,161980,19,162090
1305,161724,83,162241
1311,162103,21,162246
1302,161559,141,162327
1303,161568,209,162620
1309,162029,157,162717
1312,162222,154,162775
1310,162067,184,162779
1313,162905,4,162909
1314,162963,13,162976
1316,163072,47,163163
1315,163040,113,163200
1317,163351,112,163611
1320,163555,25,163652
1321,163639,25,163721
1318,163352,166,163767
1319,163508,97,163776
1322,163794,5,163799
1323,163875,10,163885
1324,163923,6,163929
1325,164131,10,164141
1326,164250,5,164255
1328,164451,125,164762
1330,164692,48,164850
1332,164912,16,164978
1334,164998,13,165079
1327,164265,416,165159
1335,165019,43,165298
1338,165206,48,165558
1331,164884,116,165570
1336,165065,91,165709
1337,165122,83,165712
1339,165286,99,165923
1333,164953,163,165954
1344,166229,1,166247
1340,165430,187,166402
1346,166325,11,166405
1343,166213,45,166478
1342,165997,108,166502
1329,164612,399,166517
1351,166781,1,166802
1349,166685,28,166842
1347,166637,43,166857
1350,166710,60,167001
1345,166275,184,167005
1348,166642,82,167031
1354,167018,3,167034
1352,166993,45,167163
1341,165544,382,167165
1355,167101,20,167173
1353,167001,291,167416
1356,167573,19,167592
1359,167916,22,167982
1361,168073,11,168121
1358,167781,147,168184
1357,167648,317,168293
