id,ta,ts,tf
1246,154698,317,156151
1255,155666,236,156223
1262,156317,28,156377
1263,156382,4,156386
1265,156708,16,156724
1266,156825,78,156903
1267,157049,60,157159
1268,157094,39,157172
1269,157104,125,157529
1264,156599,475,157575
1271,157602,47,157681
1270,157575,106,157728
1261,156291,486,157755
1273,157993,12,158005
1274,158029,12,158041
1275,158042,37,158079
1277,158135,28,158187
1280,158521,39,158560
1283,158806,33,158839
1285,158881,1,158883
1286,158911,23,158934
1282,158621,83,158993
1279,158414,146,159016
1284,158874,83,159132
1281,158610,173,159166
1287,159061,79,159189
1272,157931,265,159266
1289,159323,18,159373
1288,159268,73,159407
1291,159347,62,159541
1278,158165,305,159656
1276,158116,156,159679
1290,159334,131,159690
1292,159725,25,159750
1294,159869,12,159905
1293,159869,134,160191
1295,159977,133,160268
1296,160047,187,160335
1297,160959,93,161052
1298,161058,79,161137
1299,161212,99,161311
1304,161704,36,161756
1307,161775,1,161776
1306,161731,43,161840
1301,161451,132,161952
1308,161980,19,161999
1311,162103,21,162124
1305,161724,83,162215
1302,161559,141,162519
1300,161451,148,162611
1303,161568,209,162670
1310,162067,184,162734
1309,162029,157,162745
1312,162222,154,162779
1313,162905,4,162909
1314,162963,13,162976
1316,163072,47,163151
1315,163040,113,163200
1320,163555,25,163612
1321,163639,25,163664
1317,163351,112,163675
1319,163508,97,163693
1318,163352,166,163776
1322,163794,5,163799
1323,163875,10,163885
1324,163923,6,163929
1325,164131,10,164141
1326,164250,5,164255
1330,164692,48,164740
1328,164451,125,164809
1332,164912,16,164928
1334,164998,13,165011
1331,164884,116,165166
1335,165019,43,165272
1338,165206,48,165320
1337,165122,83,165513
1336,165065,91,165621
1339,165286,99,165697
1342,165997,108,166105
1333,164953,163,166140
1340,165430,187,166207
1344,166229,1,166230
1343,166213,45,166259
1346,166325,11,166336
1327,164265,416,166438
1349,166685,28,166770
1351,166781,1,166782
1347,166637,43,166821
1348,166642,82,166847
1350,166710,60,166851
1345,166275,184,166889
1354,167018,3,167021
1352,166993,45,167097
1355,167101,20,167121
1329,164612,399,167225
1341,165544,382,167249
1353,167001,291,167416
1356,167573,19,167592
1359,167916,22,167938
1358,167781,147,167965
1361,168073,11,168084
1360,167986,147,168200
